JoinField,mean_turnout_1r,std_turnout_1r,cv_turnout_1r,n_cycles_1r,mean_turnout_ro,std_turnout_ro,cv_turnout_ro,n_cycles_ro
CITY OF CHICAGO:Ward 41 Precinct 22,311.7373990531885,49.06921661725706,0.15740561371940137,3,329.8387635756057,47.61021526935759,0.14434390534708746,3
CITY OF CHICAGO:Ward 41 Precinct 23,403.86880306765266,67.14365223395363,0.1662511482044487,3,417.7400712133662,65.54898280712509,0.15691332319815948,3
CITY OF CHICAGO:Ward 41 Precinct 24,687.7983914693656,95.25260080364191,0.13848912993261114,3,738.1522380866318,128.77268922932308,0.17445275186473108,3
CITY OF CHICAGO:Ward 41 Precinct 25,576.2512459689241,83.232590973287,0.14443802344121187,3,596.9038405159778,124.6399890538283,0.20881083449904855,3
CITY OF CHICAGO:Ward 41 Precinct 26,695.2058618118846,104.6922623695674,0.15059174284968274,3,739.5892886161464,108.71168780968883,0.14698926753401262,3
CITY OF CHICAGO:Ward 41 Precinct 27,553.2637761399465,36.49539680118644,0.06596382842160813,3,580.7667854601464,94.97154061178917,0.16352784454872435,3
CITY OF CHICAGO:Ward 41 Precinct 28,845.7794301573593,99.05202129550757,0.11711330136874894,3,899.3132530007482,150.67156082516865,0.16754068765518715,3
CITY OF CHICAGO:Ward 41 Precinct 29,941.5026476224393,126.37462984839068,0.13422652625303008,3,980.1128557013975,167.83625079550592,0.17124176039441638,3
CITY OF CHICAGO:Ward 41 Precinct 30,734.001558608121,79.38314464209921,0.1081511935650826,3,746.3010996749114,170.95382658704432,0.22906816921683726,3
CITY OF CHICAGO:Ward 41 Precinct 31,651.8521925789636,86.22284390461178,0.13227361184977066,3,667.8546458141674,163.93990558718036,0.2454724341811304,3
CITY OF CHICAGO:Ward 42 Precinct 01,269.3333333333333,32.34707611722168,0.12010053013819932,3,298.0,32.2335229225724,0.10816618430393422,3
CITY OF CHICAGO:Ward 42 Precinct 02,365.0763134502187,139.09261791248596,0.3809960076510207,3,426.2026309820142,140.6418484358765,0.3299882220619412,3
CITY OF CHICAGO:Ward 42 Precinct 03,386.36420826090557,285.22290749311907,0.738222903143535,3,433.6876914162735,285.3093237506626,0.6578681604242477,3
CITY OF CHICAGO:Ward 42 Precinct 04,367.6666666666667,218.13833531347336,0.5933046291390934,3,443.0,250.2938273309991,0.5649973528916459,3
CITY OF CHICAGO:Ward 42 Precinct 05,783.741672331747,83.85622363319588,0.10699472363605632,3,859.5855427147065,35.654294400465275,0.04147847145947034,3
CITY OF CHICAGO:Ward 42 Precinct 06,382.6666666666667,31.78574103797697,0.08306378320028825,3,415.3333333333333,24.542480178933285,0.0590910437695023,3
CITY OF CHICAGO:Ward 42 Precinct 07,378.2439862542956,161.11987007845605,0.4259680944937331,3,434.25085910652916,152.20425774395673,0.3504984608599667,3
CITY OF CHICAGO:Ward 42 Precinct 08,216.91832844744638,83.95416806219913,0.38703123273669804,3,256.83787919807213,92.81789146411178,0.3613870810408424,3
CITY OF CHICAGO:Ward 42 Precinct 09,443.4446847707264,167.95379423696505,0.37874801526553864,3,526.1169507276503,169.31653785104086,0.3218230045940665,3
CITY OF CHICAGO:Ward 42 Precinct 10,301.3474816072439,83.86212138074471,0.278290433799095,3,365.69581211092253,84.10170859385907,0.22997722645057095,3
CITY OF CHICAGO:Ward 42 Precinct 11,296.8598543927124,75.93325220517562,0.25578821481440334,3,367.8773982792295,14.856573947171684,0.040384579255654945,3
CITY OF CHICAGO:Ward 42 Precinct 12,238.7062427554231,97.97000560856688,0.41042079368215906,3,284.1203841695645,96.21874242964059,0.33865483714190936,3
CITY OF CHICAGO:Ward 42 Precinct 13,252.0,28.160255680657446,0.11174704635181526,3,277.6666666666667,18.230011885167087,0.06565430450840487,3
CITY OF CHICAGO:Ward 42 Precinct 14,103.94428320492318,73.05806024753916,0.7028578965089142,3,119.39487491696406,78.4983805922373,0.6574685944168945,3
CITY OF CHICAGO:Ward 42 Precinct 15,103.16373191352511,40.73014615858735,0.3948107091814841,3,134.56101807869751,58.44245752035588,0.4343193768508501,3
CITY OF CHICAGO:Ward 42 Precinct 16,391.9226382131021,159.88985275670805,0.40796278950788833,3,479.7738499629718,161.57994845837385,0.33678356682183563,3
CITY OF CHICAGO:Ward 42 Precinct 17,423.7320008802567,212.75033442432215,0.5020870125040278,3,524.9349589686799,222.671955471759,0.4241896099075479,3
CITY OF CHICAGO:Ward 42 Precinct 18,277.95152585492286,93.19075165077199,0.3352769925048478,3,338.65467562733517,71.31362704005558,0.21057918928168304,3
CITY OF CHICAGO:Ward 42 Precinct 19,451.57278524176496,170.56171492463176,0.37770592139053666,3,537.2047443679102,134.923792202292,0.25115897358845374,3
CITY OF CHICAGO:Ward 42 Precinct 20,411.79194078177244,202.39851264635496,0.4915067358096143,3,496.0481190907758,198.31517933606878,0.399790205231637,3
CITY OF CHICAGO:Ward 42 Precinct 21,403.2056654027162,178.47613795854897,0.4426429320636889,3,484.5953787619453,211.91868324848315,0.4373105740089754,3
CITY OF CHICAGO:Ward 42 Precinct 22,485.4114397150344,89.86946596819398,0.18514080760221213,3,559.7976550838506,111.0519743018672,0.19837877721233582,3
CITY OF CHICAGO:Ward 42 Precinct 23,595.7073244535932,155.19262617028463,0.2605182441102828,3,707.0746107277879,145.92812709318815,0.20638292604366767,3
CITY OF CHICAGO:Ward 42 Precinct 24,730.1211369278984,107.97275271911775,0.14788334052816277,3,836.5955632340525,75.7306227699543,0.09052238154025125,3
CITY OF CHICAGO:Ward 43 Precinct 01,610.007880011333,133.3389780297883,0.21858566487257686,3,690.2886305683268,118.39644734308891,0.17151730754367348,3
CITY OF CHICAGO:Ward 43 Precinct 02,723.2454353599545,99.47711184072712,0.13754267497204184,3,837.4581306999618,82.58536065699049,0.09861431590372671,3
CITY OF CHICAGO:Ward 43 Precinct 03,304.52280675960054,38.43419481652914,0.12621121953230338,3,351.4442183287071,36.90407377335639,0.10500691674159188,3
CITY OF CHICAGO:Ward 43 Precinct 04,479.7853107344633,66.15158988994838,0.13787748063541677,3,540.7118644067797,77.23228914542008,0.14283446365681726,3
CITY OF CHICAGO:Ward 43 Precinct 05,726.0493964962916,121.79448085364642,0.16774957935560864,3,821.9247948480074,77.00065873783498,0.0936833384519981,3
CITY OF CHICAGO:Ward 43 Precinct 06,819.7218421686658,138.90173497926,0.16944983997471622,3,933.8419368616256,126.06253548918009,0.1349934400170976,3
CITY OF CHICAGO:Ward 43 Precinct 07,712.7421101774044,144.12949187165793,0.20221829160028656,3,806.3360410831,136.281181605022,0.1690128862675717,3
CITY OF CHICAGO:Ward 43 Precinct 08,545.3396078431373,122.55177439993935,0.22472560701145775,3,643.7216339869282,136.7611040417315,0.21245379496521422,3
CITY OF CHICAGO:Ward 43 Precinct 09,720.8929084325613,142.52926741535504,0.19771212304648228,3,849.616393197772,198.0079622160265,0.2330557223251866,3
CITY OF CHICAGO:Ward 43 Precinct 10,543.0597543278978,114.77993867338526,0.21135784369703353,3,617.89874964838,112.67122633503288,0.18234577493343257,3
CITY OF CHICAGO:Ward 43 Precinct 11,347.56947626833875,81.21925858948552,0.23367776555493822,3,402.53742048530876,77.78216180468333,0.19322964237935267,3
CITY OF CHICAGO:Ward 43 Precinct 12,663.7326314599985,169.52846311786098,0.2554167974911115,3,758.55313376918,160.27040452560118,0.21128434830824894,3
CITY OF CHICAGO:Ward 43 Precinct 13,576.358024691358,115.18984813183525,0.1998581492701865,3,663.8271604938271,64.92256417082946,0.09780040353054094,3
CITY OF CHICAGO:Ward 43 Precinct 14,319.01586428463423,62.09634167181274,0.1946496980990537,3,366.91715503756285,61.24063054867616,0.1669058797275551,3
CITY OF CHICAGO:Ward 43 Precinct 15,746.7458946800281,135.30911716539555,0.18119834086717534,3,862.0664203502853,90.29864233865048,0.10474673436642996,3
CITY OF CHICAGO:Ward 43 Precinct 16,244.62221064708424,70.9493031781706,0.2900362276609827,3,281.96689697786763,78.85224299118855,0.27965071019445903,3
CITY OF CHICAGO:Ward 43 Precinct 17,526.5370540005655,168.10926779748235,0.31927338545351797,3,625.3668532654792,211.9608785188577,0.3389384605404991,3
CITY OF CHICAGO:Ward 43 Precinct 18,653.1410860149114,151.99783596188468,0.2327182276792407,3,778.6792259887239,131.65871040720623,0.1690795208258359,3
CITY OF CHICAGO:Ward 43 Precinct 19,640.1145799784805,171.29214954963498,0.26759607562038895,3,765.1568303311129,205.87155815567937,0.2690579891531397,3
CITY OF CHICAGO:Ward 43 Precinct 20,599.3942294237819,140.52161695714977,0.23443938906825645,3,709.6844961240309,125.89555062195343,0.17739650691192607,3
CITY OF CHICAGO:Ward 43 Precinct 21,325.5712602986887,66.79812354740733,0.2051720519990762,3,387.7546809445018,33.0033001408803,0.08511386647993546,3
CITY OF CHICAGO:Ward 43 Precinct 22,698.8079613773831,207.39795510797387,0.29678819728839784,3,825.4570776727514,191.72834971305267,0.23226931466091622,3
CITY OF CHICAGO:Ward 43 Precinct 23,486.15586662298966,161.2334610747633,0.33164972829547007,3,595.1464296850639,140.6609535021611,0.23634679884847035,3
CITY OF CHICAGO:Ward 44 Precinct 01,622.1274971202896,101.54016916012289,0.16321440481273228,3,694.9573342109594,113.22998525773619,0.16293084436082,3
CITY OF CHICAGO:Ward 44 Precinct 02,444.0138426159628,165.85546436702865,0.37353669739184375,3,496.2579729653935,153.15767563166713,0.30862511833607875,3
CITY OF CHICAGO:Ward 44 Precinct 03,737.4338549075392,117.54076898054882,0.15939160942819244,3,786.742057847321,54.91869605494518,0.06980521189526005,3
CITY OF CHICAGO:Ward 44 Precinct 04,940.0,87.42997197757758,0.09301060848678466,3,1008.3333333333334,92.8780562529887,0.09211046901122846,3
CITY OF CHICAGO:Ward 44 Precinct 05,470.2654735272185,139.04404025619561,0.2956713773037558,3,524.5346756152126,185.72821448563354,0.3540818617335411,3
CITY OF CHICAGO:Ward 44 Precinct 06,486.84302203818714,156.53057191048612,0.32152165035695657,3,546.130588944594,161.5632113325829,0.2958325620339384,3
CITY OF CHICAGO:Ward 44 Precinct 07,508.33043412203597,154.13360376978363,0.3032153761086444,3,596.4170572304585,146.18854860215976,0.24511128048719066,3
CITY OF CHICAGO:Ward 44 Precinct 08,535.1650719350175,135.7289591082223,0.2536207354068563,3,608.2261627773571,86.74677536911678,0.14262256489099873,3
CITY OF CHICAGO:Ward 44 Precinct 09,743.360460126561,240.07782634476416,0.3229628682481843,3,851.7901318818155,260.0045850880641,0.30524488997501015,3
CITY OF CHICAGO:Ward 44 Precinct 10,653.598895164259,264.8660538380305,0.40524250545354085,3,768.427574261609,275.2053575719611,0.3581409189231778,3
CITY OF CHICAGO:Ward 44 Precinct 11,478.34944783577777,167.8727515389198,0.35094166471485555,3,538.8490617647367,195.85919590784363,0.36347691738833615,3
CITY OF CHICAGO:Ward 44 Precinct 12,746.2328117591275,156.5504408427606,0.209787667301465,3,827.257942152679,113.3923839391701,0.13707016658444166,3
CITY OF CHICAGO:Ward 44 Precinct 13,617.2171040177309,210.19294058070903,0.34054944234771367,3,682.1165183022822,193.76957905666634,0.2840710844225542,3
CITY OF CHICAGO:Ward 44 Precinct 14,569.941105212191,192.91223181496554,0.33847748486774554,3,657.3327720712408,180.71891347691226,0.2749275879056981,3
CITY OF CHICAGO:Ward 44 Precinct 15,706.0,185.453498214512,0.2626820088024249,3,814.6666666666666,154.73310354715093,0.18993425148995616,3
CITY OF CHICAGO:Ward 44 Precinct 16,683.7066087377407,222.24394427517464,0.3250574755822259,3,776.2528084013021,208.4747602416695,0.2685655471843312,3
CITY OF CHICAGO:Ward 44 Precinct 17,765.82653989415,199.67428178624573,0.2607304283471869,3,826.8220027831427,142.0824893306147,0.17184168884276754,3
CITY OF CHICAGO:Ward 44 Precinct 18,467.5738549478618,157.83595960828305,0.3375636980940327,3,526.3387570538994,142.69814792022834,0.27111465003823654,3
CITY OF CHICAGO:Ward 44 Precinct 19,650.3472943052976,193.5070515741042,0.2975441787311637,3,720.0817449750042,223.41323176769947,0.31026092985519954,3
CITY OF CHICAGO:Ward 44 Precinct 20,382.5232773477481,124.11941225057635,0.32447544920969773,3,435.6376436341454,131.6977931884132,0.30231040662550007,3
CITY OF CHICAGO:Ward 44 Precinct 21,670.2562295051756,196.420216944109,0.2930524302461441,3,748.9803915601057,210.18537203761667,0.28062867119899665,3
CITY OF CHICAGO:Ward 45 Precinct 01,870.358668596075,147.74281555573566,0.16974934689172572,3,923.2740068314515,176.73909197514521,0.19142647866984722,3
CITY OF CHICAGO:Ward 45 Precinct 02,457.5464596090532,70.33381308119914,0.15371950018211328,3,500.9484290659843,95.04548363818344,0.18973107434510822,3
CITY OF CHICAGO:Ward 45 Precinct 03,256.28301886792457,43.861368905997985,0.1711442650384961,3,280.90994854202404,71.75233518200463,0.2554282450814322,3
CITY OF CHICAGO:Ward 45 Precinct 04,335.4282051282051,48.228138896397994,0.14378080960116207,3,358.7775641025641,53.99996885043663,0.1505109969334638,3
CITY OF CHICAGO:Ward 45 Precinct 05,518.3836477987421,45.98495555532546,0.0887083451621119,3,534.0900514579761,75.18383191732305,0.14076995389089128,3
CITY OF CHICAGO:Ward 45 Precinct 06,516.9287397431265,116.59726934280056,0.22555772271578547,3,543.2689271243963,122.72876786335519,0.22590794675664022,3
CITY OF CHICAGO:Ward 45 Precinct 07,598.9736675587774,70.86097058391559,0.11830398299932274,3,609.1443864445309,98.65346788222404,0.16195416075004326,3
CITY OF CHICAGO:Ward 45 Precinct 08,530.7742127366492,19.878619800023387,0.03745212054958373,3,547.8059553466111,88.75057321577769,0.16201096820793578,3
CITY OF CHICAGO:Ward 45 Precinct 09,541.7437346045227,40.74377730080441,0.07520858054878603,3,550.9556612236685,70.56665973763624,0.12808046945358217,3
CITY OF CHICAGO:Ward 45 Precinct 10,517.3793970523787,21.64741553835607,0.04184050555875637,3,546.340452224414,92.6608881391136,0.16960283237649104,3
CITY OF CHICAGO:Ward 45 Precinct 11,669.9603628708973,52.892357258480004,0.07894848738786128,3,711.66304996627,153.6769165696241,0.21594055863502787,3
CITY OF CHICAGO:Ward 45 Precinct 12,427.5853440420197,44.48073973106465,0.10402774639229317,3,433.57706813729175,68.2772434247911,0.15747429567278493,3
CITY OF CHICAGO:Ward 45 Precinct 13,570.1205875002225,124.86658541306582,0.21901785017194644,3,589.5970091075047,151.65806453295494,0.2572232595998502,3
CITY OF CHICAGO:Ward 45 Precinct 14,411.2982620320856,19.928859417002364,0.04845354638393221,3,418.2258912655971,60.06308544151696,0.14361398157287567,3
CITY OF CHICAGO:Ward 45 Precinct 15,435.56042149438804,40.89929132922617,0.09390038513807697,3,455.58283944068313,73.50463281713637,0.16134197000786432,3
