JoinField,jurisdiction,township,total_votes,pred_Fine,pred_Biss,pred_Abughazaleh,pred_Simmons,pred_Amiwala,pred_Andrew,pred_Huynh,actual_Fine,actual_Biss,actual_Abughazaleh,actual_Simmons,actual_Amiwala,actual_Andrew,actual_Huynh,err_Fine,err_Biss,err_Abughazaleh,err_Simmons,err_Amiwala,err_Andrew,err_Huynh
CITY OF CHICAGO:Ward 48 Precinct 01,CITY OF CHICAGO,,706.0,13.971670748928975,26.498329147507587,28.38389406323328,16.190547655862137,7.500709240164783,3.4450465526004086,2.944577321983493,8.356940509915015,24.929178470254957,42.77620396600567,16.005665722379604,5.382436260623229,1.41643059490085,1.13314447592068,5.61473023901396,1.5691506772526296,-14.392309902772386,0.1848819334825329,2.118272979541554,2.0286159576995586,1.811432846062813
CITY OF CHICAGO:Ward 48 Precinct 07,CITY OF CHICAGO,,541.0,14.234576627516518,26.582584813638885,27.88602928122222,15.078139899436628,8.103154209235493,4.457428646930145,2.5928612523007777,6.284658040665435,27.726432532347506,40.66543438077634,15.711645101663585,6.654343807763401,1.478743068391867,1.478743068391867,7.949918586851083,-1.1438477187086207,-12.779405099554118,-0.6335052022269565,1.448810401472092,2.978685578538278,1.1141181839089107
CITY OF CHICAGO:Ward 48 Precinct 21,CITY OF CHICAGO,,514.0,14.51197171307988,27.55606579256367,26.11919045989196,15.721212860731402,7.359306831401966,4.844527589577398,2.8224994830344063,8.560311284046692,18.09338521400778,34.63035019455253,19.26070038910506,6.031128404669261,1.1673151750972763,12.2568093385214,5.951660429033188,9.462680578555887,-8.511159734660566,-3.539487528373659,1.3281784267327055,3.6772124144801213,-9.434309855486994
CITY OF CHICAGO:Ward 48 Precinct 25,CITY OF CHICAGO,,590.0,13.928787074439375,26.414173187210693,28.56124252432373,16.22699630558597,7.513802444775401,3.335814966660096,2.953958227285393,6.101694915254238,25.593220338983052,42.71186440677966,14.576271186440678,7.796610169491526,1.694915254237288,1.5254237288135595,7.8270921591851375,0.8209528482276411,-14.15062188245593,1.6507251191452923,-0.28280772471612536,1.640899712422808,1.4285344984718333
CITY OF CHICAGO:Ward 48 Precinct 28,CITY OF CHICAGO,,421.0,14.780986709779617,26.485394090645407,27.19516333165652,12.200103135108453,9.773992388525102,6.782087895708999,1.7170471788565642,5.938242280285035,17.339667458432302,53.20665083135392,14.964370546318289,5.7007125890736345,0.7125890736342043,2.137767220902613,8.842744429494582,9.145726632213105,-26.0114874996974,-2.764267411209836,4.073279799451467,6.069498822074795,-0.4207200420460486
CITY OF CHICAGO:Ward 48 Precinct 30,CITY OF CHICAGO,,521.0,14.068474922359318,26.68768401316116,27.98080526630428,16.105457301191098,7.474315456117853,3.694949212633612,2.9230885585133457,8.253358925143955,31.669865642994242,35.12476007677543,15.547024952015356,4.414587332053743,3.8387715930902107,1.1516314779270633,5.815115997215363,-4.982181629833082,-7.1439548104711506,0.5584323491757424,3.05972812406411,-0.1438223804565988,1.7714570805862824
CITY OF CHICAGO:Ward 48 Precinct 31,CITY OF CHICAGO,,516.0,13.870968358337777,26.301073025326524,28.801888598203995,16.27772074827394,7.529671453068335,3.1866714055965053,2.9667811414735863,3.10077519379845,20.930232558139537,47.093023255813954,19.961240310077518,6.5891472868217065,0.9689922480620154,1.3565891472868217,10.770193164539327,5.370840467186987,-18.29113465760996,-3.6835195618035783,0.9405241662466288,2.21767915753449,1.6101919941867646
CITY OF CHICAGO:Ward 48 Precinct 34,CITY OF CHICAGO,,384.0,13.813919147682816,26.189610511392576,29.0417725162312,16.327963671974405,7.543726884396852,3.0380193956827126,2.979762602920108,8.333333333333332,26.041666666666668,32.8125,20.572916666666664,8.072916666666668,2.34375,1.8229166666666667,5.480585814349483,0.1479438447259085,-3.7707274837687983,-4.244952994692259,-0.5291897822698157,0.6942693956827126,1.1568459362534413
CITY OF CHICAGO:Ward 48 Precinct 35,CITY OF CHICAGO,,648.0,14.05626812509244,26.663655492537305,28.02948242477885,16.115800028938004,7.479166299295555,3.664889270575459,2.925513089063067,10.802469135802468,28.39506172839506,30.555555555555557,23.765432098765434,4.012345679012346,2.006172839506173,0.4629629629629629,3.2537989892899724,-1.7314062358577544,-2.526073130776709,-7.64963206982743,3.466820620283209,1.6587164310692861,2.4625501261001044
CITY OF CHICAGO:Ward 49 Precinct 02,CITY OF CHICAGO,,474.0,14.514298500329758,27.56161409392666,26.11748790380417,15.722893824621051,7.351805159749055,4.843683952973786,2.8229912948761844,10.337552742616033,28.48101265822785,38.39662447257383,14.345991561181433,4.852320675105485,2.7426160337552745,0.8438818565400843,4.176745757713725,-0.9193985643011899,-12.279136568769662,1.376902263439618,2.4994844846435695,2.101067919218511,1.9791094383361
